dte_dateof,amt_price,houseno,houseunit,stdir,stname,sttype,stsuffix,heatedarea,yearbuilt,fullbaths,halfbaths,bedrooms,actype,vacantorim,totalac,siding,area,geometry
2022-12-20,270000,2533,NA,NA,VALLEYVIEW,DR,NA,1247,1958,1,0,3,AC-NONE,IMP,0,FACE BRICK,03103,"list(list(c(451077.660829201, 451027.557729201, 451041.084729198, 451090.767229198, 451084.860229199, 451079.1086292, 451077.660829201, 164718.021559403, 164737.604959404, 164770.142459402, 164749.833559405, 164735.5658594, 164721.584659404, 164718.021559403)))"
2012-12-14,310000,9814,NA,NA,ARLINGTON OAKS,DR,NA,2754,2003,2,0,3,AC-CENTRAL,IMP,1,FACE BRICK,03107,"list(list(c(463502.360941634, 463416.788170489, 463416.559570032, 463416.2943935, 463416.065793043, 463415.87376866, 463415.645168203, 463415.492767898, 463415.340367594, 463415.187967289, 463415.075191062, 463414.959366832, 463414.846590604, 463414.770390452, 463414.6941903, 463414.654566222, 463414.617990148, 463414.57836607, 463414.617990147, 463414.617990148, 463414.694190299, 463417.092971098, 463505.600972114, 463504.305569522, 463502.360941634, 162871.768104448, 162837.459747832, 162838.334525582, 
162839.212351336, 162840.105417124, 162840.983242877, 162841.879356671, 162842.7937585, 162843.686824289, 162844.582938077, 162845.47905187, 162846.393453701, 162847.30785553, 162848.222257355, 162849.136659186, 162850.051061016, 162850.965462843, 162851.87986467, 162852.794266498, 162853.70866833, 162855.174759264, 162899.160535238, 162894.305061522, 162885.292107498, 162871.768104448)))"
2014-12-22,196000,10409,NA,NA,ATKINS RIDGE,DR,NA,2188,2013,2,1,3,AC-CENTRAL,IMP,0.171,"ALUM,VINYL",03107,"list(list(c(453976.275089463, 453966.064269042, 453937.870212653, 453949.035058982, 453965.722892357, 453980.200921314, 453976.275089463, 173311.246895406, 173302.672854261, 173324.447809809, 173338.907550726, 173326.048013007, 173314.864878646, 173311.246895406)))"
2016-09-08,220000,2436,NA,NA,GOLD CUP,CT,NA,1584,1977,2,0,3,AC-CENTRAL,IMP,0,MASONITE,03107,"list(list(c(457248.401073714, 457231.941650295, 457179.302775517, 457186.536184708, 457194.455360412, 457203.046552502, 457248.401073714, 153859.109735133, 153805.80010851, 153840.851988112, 153857.46376112, 153873.759768824, 153889.711716333, 153859.109735133)))"
2016-01-19,109000,7105,NA,NA,FLYING SCOTSMAN,DR,NA,1448,2002,2,1,3,AC-CENTRAL,IMP,0.029,"ALUM,VINYL",03103,"list(list(c(451764.641866192, 451781.36932365, 451778.397517707, 451761.670060249, 451764.641866192, 171296.51467544, 171287.10262312, 171281.786900483, 171291.199143311, 171296.51467544)))"
2015-03-30,195000,5209,NA,NA,PROSPERITY VIEW,DR,NA,2016,2004,3,0,3,AC-CENTRAL,IMP,0.1266,"ALUM,VINYL",03106,"list(c(447682.06630104, 447666.140469189, 447652.881642672, 447668.731274371, 447682.06630104, 181936.72314636, 181907.614688143, 181914.756166423, 181943.82804857, 181936.72314636))"
2013-11-05,109000,1400,NA,NA,THOMPSON,AV,NA,1528,1954,1,1,3,AC-NONE,IMP,0.495,FACE BRICK,03106,"list(list(c(437273.021668076, 437271.372117658, 437261.009658932, 437251.524263959, 437245.047251005, 437242.509603051, 437241.465843844, 437234.607830127, 437225.692412296, 437218.413773741, 437255.086986847, 437255.096892867, 437273.021668076, 174086.302450394, 174084.463923598, 174072.903994721, 174061.26365944, 174054.292869498, 174051.593280978, 174050.482861879, 174062.751086414, 174078.448317809, 174091.039630993, 174112.25433254, 174112.240037392, 174086.302450394)))"
2018-01-19,325000,9921,NA,NA,DAUFUSKIE,DR,NA,3236,2005,3,0,4,AC-CENTRAL,IMP,0.275,HARDIPLANK,03108,"list(list(c(424873.800029202, 424859.2062292, 424822.517329202, 424837.0319292, 424873.800029202, 148005.459659405, 147985.562259402, 148012.339059402, 148032.084059402, 148005.459659405)))"
2019-12-18,155000,12619,NA,NA,BLUESTEM,LN,NA,982,1999,1,1,2,AC-CENTRAL,IMP,0,"ALUM,VINYL",03108,"list(list(c(439298.449229199, 439300.506629198, 439283.209229199, 439281.228029202, 439298.449229199, 144557.338759407, 144552.928259407, 144544.613359403, 144548.831759404, 144557.338759407)))"
2016-01-21,355000,1420,NA,NA,BLUEBERRY,LN,NA,1824,1956,2,0,3,AC-CENTRAL,IMP,1.07,FACE BRICK,03104,"list(list(c(446715.040456493, 446707.441921127, 446699.408528073, 446690.961398833, 446617.169171247, 446610.189046789, 446630.54991801, 446715.040456493, 155324.530105971, 155315.851692958, 155307.574181972, 155299.719336347, 155375.462287833, 155382.62510216, 155412.526041964, 155324.530105971)))"
