cosponsor,sponsor,bill
"Rep. Cuellar, Henry [D-TX]","Rep. Green, Mark E. [R-TN]",HR 1743
"Rep. Buchanan, Vern [R-FL]","Rep. Hastings, Alcee L. [D-FL]",HR 1744
"Rep. Beatty, Joyce [D-OH]","Rep. Hastings, Alcee L. [D-FL]",HR 1744
"Rep. Roybal-Allard, Lucille [D-CA]","Rep. Hastings, Alcee L. [D-FL]",HR 1744
"Rep. Brownley, Julia [D-CA]","Rep. Hastings, Alcee L. [D-FL]",HR 1744
"Rep. Cuellar, Henry [D-TX]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. Slotkin, Elissa [D-MI]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. LaHood, Darin [R-IL]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. Westerman, Bruce [R-AR]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. Cooper, Jim [D-TN]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. Balderson, Troy [R-OH]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. Golden, Jared F. [D-ME]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. Hinson, Ashley [R-IA]","Rep. Hollingsworth, Trey [R-IN]",HR 1745
"Rep. LaMalfa, Doug [R-CA]","Rep. Issa, Darrell E. [R-CA]",HR 1747
"Rep. Gonzalez, Anthony [R-OH]","Rep. Johnson, Bill [R-OH]",HR 1748
"Rep. Kelly, Mike [R-PA]","Rep. Keller, Fred [R-PA]",HR 1749
"Rep. Thompson, Glenn [R-PA]","Rep. Keller, Fred [R-PA]",HR 1749
"Rep. Griffith, H. Morgan [R-VA]","Rep. Keller, Fred [R-PA]",HR 1749
"Rep. Lucas, Frank D. [R-OK]","Rep. Keller, Fred [R-PA]",HR 1749
"Rep. Steube, W. Gregory [R-FL]","Rep. Keller, Fred [R-PA]",HR 1749
"Rep. Jayapal, Pramila [D-WA]","Rep. Watson Coleman, Bonnie [D-NJ]",HR 175
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Watson Coleman, Bonnie [D-NJ]",HR 175
"Rep. Timmons, William R. IV [R-SC]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Cloud, Michael [R-TX]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Allen, Rick W. [R-GA]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Lesko, Debbie [R-AZ]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Gaetz, Matt [R-FL]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Weber, Randy K., Sr. [R-TX]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Reschenthaler, Guy [R-PA]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Grothman, Glenn [R-WI]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Palmer, Gary J. [R-AL]","Rep. Kelly, Mike [R-PA]",HR 1750
"Rep. Blumenauer, Earl [D-OR]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Blunt Rochester, Lisa [D-DE]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Brown, Anthony G. [D-MD]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Carbajal, Salud O. [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Carson, Andre [D-IN]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Case, Ed [D-HI]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Casten, Sean [D-IL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Castor, Kathy [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Cicilline, David N. [D-RI]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Clarke, Yvette D. [D-NY]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Cohen, Steve [D-TN]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Davis, Danny K. [D-IL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Dean, Madeleine [D-PA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. DeGette, Diana [D-CO]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. DeLauro, Rosa L. [D-CT]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Demings, Val Butler [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. DeSaulnier, Mark [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Deutch, Theodore E. [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Doggett, Lloyd [D-TX]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Escobar, Veronica [D-TX]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Eshoo, Anna G. [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Espaillat, Adriano [D-NY]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Evans, Dwight [D-PA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Foster, Bill [D-IL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Garamendi, John [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Green, Al [D-TX]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Haaland, Debra A. [D-NM]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Hastings, Alcee L. [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Hayes, Jahana [D-CT]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Himes, James A. [D-CT]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Johnson, Eddie Bernice [D-TX]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Keating, William R. [D-MA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Khanna, Ro [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Lawson, Al, Jr. [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Lee, Barbara [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Lieu, Ted [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Lowenthal, Alan S. [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. McCollum, Betty [D-MN]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. McGovern, James P. [D-MA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. McNerney, Jerry [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Meng, Grace [D-NY]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Moore, Gwen [D-WI]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Morelle, Joseph D. [D-NY]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Moulton, Seth [D-MA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Ocasio-Cortez, Alexandria [D-NY]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Omar, Ilhan [D-MN]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Pallone, Frank, Jr. [D-NJ]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Pascrell, Bill, Jr. [D-NJ]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Payne, Donald M., Jr. [D-NJ]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Perlmutter, Ed [D-CO]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Price, David E. [D-NC]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Quigley, Mike [D-IL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Raskin, Jamie [D-MD]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Roybal-Allard, Lucille [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Ruppersberger, C. A. Dutch [D-MD]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Rush, Bobby L. [D-IL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Del. Sablan, Gregorio Kilili Camacho [D-MP]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Schakowsky, Janice D. [D-IL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Sherman, Brad [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Sires, Albio [D-NJ]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Soto, Darren [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Speier, Jackie [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Suozzi, Thomas R. [D-NY]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Takano, Mark [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Thompson, Bennie G. [D-MS]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Tlaib, Rashida [D-MI]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Tonko, Paul [D-NY]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Vargas, Juan [D-CA]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Wasserman Schultz, Debbie [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Wilson, Frederica S. [D-FL]","Rep. Krishnamoorthi, Raja [D-IL]",HR 1752
"Rep. Kilmer, Derek [D-WA]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Khanna, Ro [D-CA]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Espaillat, Adriano [D-NY]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Bonamici, Suzanne [D-OR]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Welch, Peter [D-VT]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Pressley, Ayanna [D-MA]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Gallego, Ruben [D-AZ]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Blumenauer, Earl [D-OR]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Smith, Adam [D-WA]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Strickland, Marilyn [D-WA]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Moore, Gwen [D-WI]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Omar, Ilhan [D-MN]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Watson Coleman, Bonnie [D-NJ]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Deutch, Theodore E. [D-FL]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Cárdenas, Tony [D-CA]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Rush, Bobby L. [D-IL]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. McGovern, James P. [D-MA]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Meng, Grace [D-NY]","Rep. Lee, Barbara [D-CA]",HR 1753
"Rep. Veasey, Marc A. [D-TX]","Rep. Long, Billy [R-MO]",HR 1754
"Rep. Blumenauer, Earl [D-OR]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. DeGette, Diana [D-CO]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Raskin, Jamie [D-MD]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Welch, Peter [D-VT]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Schakowsky, Janice D. [D-IL]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Carbajal, Salud O. [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Del. Norton, Eleanor Holmes [D-DC]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Espaillat, Adriano [D-NY]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Jackson Lee, Sheila [D-TX]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Napolitano, Grace F. [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Cleaver, Emanuel [D-MO]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Moore, Gwen [D-WI]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Del. San Nicolas, Michael F. Q. [D-GU]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Sires, Albio [D-NJ]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Hastings, Alcee L. [D-FL]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Blunt Rochester, Lisa [D-DE]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Case, Ed [D-HI]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Castor, Kathy [D-FL]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Cicilline, David N. [D-RI]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Clarke, Yvette D. [D-NY]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Cohen, Steve [D-TN]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. DeLauro, Rosa L. [D-CT]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Deutch, Theodore E. [D-FL]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Dingell, Debbie [D-MI]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Eshoo, Anna G. [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Gallego, Ruben [D-AZ]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Grijalva, Raúl M. [D-AZ]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Johnson, Eddie Bernice [D-TX]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Kind, Ron [D-WI]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Lofgren, Zoe [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Matsui, Doris O. [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. McNerney, Jerry [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Ocasio-Cortez, Alexandria [D-NY]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Panetta, Jimmy [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Peters, Scott H. [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Ryan, Tim [D-OH]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Sherman, Brad [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Thompson, Mike [D-CA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Velazquez, Nydia M. [D-NY]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Yarmuth, John A. [D-KY]","Rep. Maloney, Carolyn B. [D-NY]",HR 1755
"Rep. Beyer, Donald S., Jr. [D-VA]","Rep. Maloney, Carolyn B. [D-NY]",HR 1756
"Rep. Hudson, Richard [R-NC]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Perry, Scott [R-PA]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Gaetz, Matt [R-FL]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Mooney, Alexander X. [R-WV]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Budd, Ted [R-NC]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Young, Don [R-AK]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Jackson, Ronny [R-TX]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. LaTurner, Jake [R-KS]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Herrell, Yvette [R-NM]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Murphy, Gregory [R-NC]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Estes, Ron [R-KS]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Steube, W. Gregory [R-FL]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Grothman, Glenn [R-WI]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Norman, Ralph [R-SC]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Guest, Michael [R-MS]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Cawthorn, Madison [R-NC]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Brooks, Mo [R-AL]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Webster, Daniel [R-FL]","Rep. Mann, Tracey [R-KS]",HR 1758
"Rep. Sewell, Terri A. [D-AL]","Rep. McKinley, David B. [R-WV]",HR 1760
"Rep. Armstrong, Kelly [R-ND]","Rep. McKinley, David B. [R-WV]",HR 1760
"Rep. Cheney, Liz [R-WY]","Rep. McKinley, David B. [R-WV]",HR 1760
"Rep. Miller, Carol D. [R-WV]","Rep. McKinley, David B. [R-WV]",HR 1760
"Rep. Mooney, Alexander X. [R-WV]","Rep. McKinley, David B. [R-WV]",HR 1760
"Rep. Stauber, Pete [R-MN]","Rep. McKinley, David B. [R-WV]",HR 1760
"Rep. Veasey, Marc A. [D-TX]","Rep. McKinley, David B. [R-WV]",HR 1760
"Rep. Curtis, John R. [R-UT]","Rep. McKinley, David B. [R-WV]",HR 1761
"Rep. Cheney, Liz [R-WY]","Rep. McKinley, David B. [R-WV]",HR 1761
"Rep. Schweikert, David [R-AZ]","Rep. McKinley, David B. [R-WV]",HR 1761
"Rep. Graves, Garret [R-LA]","Rep. McKinley, David B. [R-WV]",HR 1761
"Rep. O'Halleran, Tom [D-AZ]","Rep. Mullin, Markwayne [R-OK]",HR 1762
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. Norcross, Donald [D-NJ]",HR 1764
"Rep. Hudson, Richard [R-NC]","Rep. O'Halleran, Tom [D-AZ]",HR 1766
"Rep. Fortenberry, Jeff [R-NE]","Del. Plaskett, Stacey E. [D-VI]",HR 1768
"Rep. Adams, Alma S. [D-NC]","Del. Plaskett, Stacey E. [D-VI]",HR 1768
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. Quigley, Mike [D-IL]",HR 1769
"Rep. Swalwell, Eric [D-CA]","Rep. Quigley, Mike [D-IL]",HR 1769
"Rep. Diaz-Balart, Mario [R-FL]","Rep. Quigley, Mike [D-IL]",HR 1769
"Rep. LaMalfa, Doug [R-CA]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Rice, Tom [R-SC]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Davidson, Warren [R-OH]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Biggs, Andy [R-AZ]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Gohmert, Louie [R-TX]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Hice, Jody B. [R-GA]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Norman, Ralph [R-SC]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Donalds, Byron [R-FL]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Herrell, Yvette [R-NM]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Mast, Brian J. [R-FL]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Harris, Andy [R-MD]","Rep. Roy, Chip [R-TX]",HR 1770
"Rep. Bost, Mike [R-IL]","Rep. Roy, Chip [R-TX]",HR 1771
"Rep. Reschenthaler, Guy [R-PA]","Rep. Ryan, Tim [D-OH]",HR 1772
"Rep. Kelly, Trent [R-MS]","Rep. Ryan, Tim [D-OH]",HR 1772
"Rep. Fitzpatrick, Brian K. [R-PA]","Rep. Ryan, Tim [D-OH]",HR 1772
"Rep. Stefanik, Elise M. [R-NY]","Rep. Ryan, Tim [D-OH]",HR 1772
"Rep. Bustos, Cheri [D-IL]","Rep. Ryan, Tim [D-OH]",HR 1772
"Rep. Van Drew, Jefferson [R-NJ]","Rep. Smith, Christopher H. [R-NJ]",HR 1775
"Rep. Jordan, Jim [R-OH]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Armstrong, Kelly [R-ND]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Arrington, Jodey C. [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Babin, Brian [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bacon, Don [R-NE]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Baird, James R. [R-IN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Balderson, Troy [R-OH]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Banks, Jim [R-IN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Barr, Andy [R-KY]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bentz, Cliff [R-OR]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bergman, Jack [R-MI]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bice, Stephanie I. [R-OK]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Biggs, Andy [R-AZ]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bilirakis, Gus M. [R-FL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bishop, Dan [R-NC]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Boebert, Lauren [R-CO]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bost, Mike [R-IL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Brady, Kevin [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Buchanan, Vern [R-FL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Buck, Ken [R-CO]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Bucshon, Larry [R-IN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Budd, Ted [R-NC]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Burchett, Tim [R-TN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Burgess, Michael C. [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Carl, Jerry L. [R-AL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Carter, Earl L. ""Buddy"" [R-GA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Cawthorn, Madison [R-NC]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Chabot, Steve [R-OH]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Cline, Ben [R-VA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Cloud, Michael [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Clyde, Andrew S. [R-GA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Crenshaw, Dan [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Davidson, Warren [R-OH]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Davis, Rodney [R-IL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Donalds, Byron [R-FL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Duncan, Jeff [R-SC]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Dunn, Neal P. [R-FL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Emmer, Tom [R-MN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Fallon, Pat [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Feenstra, Randy [R-IA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Fischbach, Michelle [R-MN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Fulcher, Russ [R-ID]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Gaetz, Matt [R-FL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Garbarino, Andrew R. [R-NY]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Gibbs, Bob [R-OH]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Gimenez, Carlos A. [R-FL]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Gooden, Lance [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Granger, Kay [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Graves, Garret [R-LA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Greene, Marjorie Taylor [R-GA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Hagedorn, Jim [R-MN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Harshbarger, Diana [R-TN]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Hern, Kevin [R-OK]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Herrell, Yvette [R-NM]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Hinson, Ashley [R-IA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Hudson, Richard [R-NC]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Issa, Darrell E. [R-CA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Jackson, Ronny [R-TX]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Johnson, Mike [R-LA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Johnson, Dusty [R-SD]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Joyce, John [R-PA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Kelly, Trent [R-MS]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. LaMalfa, Doug [R-CA]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Lamborn, Doug [R-CO]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. LaTurner, Jake [R-KS]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Lesko, Debbie [R-AZ]","Rep. Cammack, Kat [R-FL]",HR 1776
"Rep. Mace, Nancy [R-SC]","Rep. Cammack, Kat [R-FL]",HR 1776
