survey_date,state_fips,county_fips,census_region,census_division,county_name,buildings_1unit,units_1unit,value_1unit,buildings_2unit,units_2unit,value_2unit,buildings_3or4unit,units_3or4unit,value_3or4unit,buildings_5plusunit,units_5plusunit,X30,total_buildings
202001,13,121,3,5,Fulton County,133,133,35584505,0,0,0,0,0,0,3,314,35244930,136
202001,13,127,3,5,Glynn County,51,51,15022275,0,0,0,0,0,0,0,0,0,51
202001,13,135,3,5,Gwinnett County,318,318,76620342,0,0,0,0,0,0,5,290,34408999,323
202001,13,143,3,5,Haralson County,5,5,1142836,0,0,0,0,0,0,0,0,0,5
202001,13,145,3,5,Harris County,19,19,4436145,0,0,0,0,0,0,0,0,0,19
202001,13,149,3,5,Heard County,2,2,474913,0,0,0,0,0,0,0,0,0,2
202001,13,151,3,5,Henry County,181,181,38646865,0,0,0,0,0,0,0,0,0,181
202001,13,159,3,5,Jasper County,6,6,803844,0,0,0,0,0,0,0,0,0,6
202001,13,171,3,5,Lamar County,5,5,3059252,0,0,0,0,0,0,0,0,0,5
202001,13,177,3,5,Lee County,13,13,1539886,0,0,0,0,0,0,0,0,0,13
202001,13,179,3,5,Liberty County,36,36,7800258,0,0,0,0,0,0,0,0,0,36
202001,13,189,3,5,McDuffie County,1,1,210000,0,0,0,0,0,0,0,0,0,1
202001,13,199,3,5,Meriwether County,6,6,1239214,0,0,0,0,0,0,0,0,0,6
202001,13,201,3,5,Miller County,1,1,400000,0,0,0,0,0,0,0,0,0,1
202001,13,207,3,5,Monroe County,13,13,209531,0,0,0,0,0,0,0,0,0,13
202001,13,215,3,5,Muscogee County,30,30,5834528,0,0,0,1,3,184640,2,13,0,33
202001,13,217,3,5,Newton County,62,62,14421176,0,0,0,0,0,0,0,0,0,62
202001,13,227,3,5,Pickens County,12,12,2445301,0,0,0,0,0,0,0,0,0,12
202001,13,231,3,5,Pike County,11,11,2200000,0,0,0,0,0,0,0,0,0,11
202001,13,235,3,5,Pulaski County,3,3,340000,0,0,0,0,0,0,0,0,0,3
202001,13,245,3,5,Richmond County,32,32,5205659,0,0,0,0,0,0,1,14,0,33
202001,13,247,3,5,Rockdale County,12,12,2957627,0,0,0,0,0,0,0,0,0,12
202001,13,255,3,5,Spalding County,19,19,5733970,0,0,0,0,0,0,0,0,0,19
202001,13,275,3,5,Thomas County,9,9,2009339,0,0,0,0,0,0,0,0,0,9
202001,13,291,3,5,Union County,20,20,4861186,0,0,0,0,0,0,0,0,0,20
202001,15,001,4,9,Hawaii County,58,58,18004969,0,0,0,0,0,0,0,0,0,58
202001,15,003,4,9,Honolulu County,53,53,16830808,0,0,0,0,0,0,0,0,0,53
202001,15,007,4,9,Kauai County,14,14,11629605,1,2,1250000,0,0,0,0,0,0,15
202001,15,009,4,9,Maui County,18,18,7598000,3,6,1139345,0,0,0,0,0,0,21
202001,16,001,4,8,Ada County,338,338,94937329,1,2,383171,0,0,0,1,20,2100000,340
202001,16,015,4,8,Boise County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,16,027,4,8,Canyon County,227,227,36766024,1,2,306276,0,0,0,2,50,797640,230
202001,16,045,4,8,Gem County,4,4,799517,0,0,0,0,0,0,0,0,0,4
202001,16,073,4,8,Owyhee County,2,2,371801,0,0,0,0,0,0,0,0,0,2
202001,17,005,2,3,Bond County,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,17,013,2,3,Calhoun County,1,1,151336,0,0,0,0,0,0,0,0,0,1
202001,17,031,2,3,Cook County,90,90,32088944,5,10,2522200,6,18,3019325,12,235,25939514,113
202001,17,037,2,3,DeKalb County,8,8,1999589,0,0,0,0,0,0,0,0,0,8
202001,17,039,2,3,De Witt County,1,1,190000,0,0,0,0,0,0,0,0,0,1
202001,17,043,2,3,DuPage County,64,64,23354959,0,0,0,0,0,0,1,242,19600000,65
202001,17,063,2,3,Grundy County,6,6,1321356,0,0,0,0,0,0,1,10,0,7
202001,17,083,2,3,Jersey County,1,1,155609,0,0,0,0,0,0,0,0,0,1
202001,17,093,2,3,Kendall County,14,14,2932223,2,4,544988,0,0,0,1,23,0,17
202001,17,097,2,3,Lake County,38,38,14271062,1,2,488711,0,0,0,1,6,0,40
202001,17,111,2,3,McHenry County,18,18,3053787,0,0,0,0,0,0,0,0,0,18
202001,17,119,2,3,Madison County,28,28,6587151,0,0,0,1,3,327896,0,0,0,29
202001,17,133,2,3,Monroe County,2,2,315000,0,0,0,0,0,0,0,0,0,2
202001,17,197,2,3,Will County,86,86,20171971,4,8,785200,0,0,0,1,16,1625500,91
202001,18,003,2,3,Allen County,78,78,21117111,0,0,0,0,0,0,0,0,0,78
202001,18,011,2,3,Boone County,49,49,19104000,0,0,0,0,0,0,0,0,0,49
202001,18,013,2,3,Brown County,1,1,270732,0,0,0,0,0,0,0,0,0,1
202001,18,019,2,3,Clark County,55,55,8962158,0,0,0,0,0,0,0,0,0,55
202001,18,047,2,3,Franklin County,3,3,640000,0,0,0,0,0,0,0,0,0,3
202001,18,057,2,3,Hamilton County,186,186,66991983,0,0,0,2,7,1000000,3,87,2600000,191
202001,18,059,2,3,Hancock County,37,37,8649373,0,0,0,0,0,0,0,0,0,37
202001,18,061,2,3,Harrison County,1,1,270732,0,0,0,0,0,0,0,0,0,1
202001,18,063,2,3,Hendricks County,75,75,19521750,0,0,0,0,0,0,0,0,0,75
202001,18,069,2,3,Huntington County,4,4,962140,0,0,0,0,0,0,0,0,0,4
202001,18,073,2,3,Jasper County,8,8,1903365,0,0,0,0,0,0,0,0,0,8
202001,18,081,2,3,Johnson County,65,65,18674217,4,8,1477500,0,0,0,0,0,0,69
202001,18,087,2,3,Lagrange County,3,3,566000,0,0,0,0,0,0,0,0,0,3
202001,18,089,2,3,Lake County,79,79,20510478,0,0,0,0,0,0,0,0,0,79
202001,18,097,2,3,Marion County,90,90,23905378,0,0,0,1,4,741118,0,0,0,91
202001,18,105,2,3,Monroe County,21,21,5685376,0,0,0,0,0,0,0,0,0,21
202001,18,109,2,3,Morgan County,15,15,3204654,1,2,250000,0,0,0,0,0,0,16
202001,18,111,2,3,Newton County,1,1,204248,0,0,0,0,0,0,0,0,0,1
202001,18,115,2,3,Ohio County,2,2,630000,0,0,0,0,0,0,0,0,0,2
202001,18,119,2,3,Owen County,6,6,1624393,0,0,0,0,0,0,0,0,0,6
