state_fips,county_fips,econdep
16,071,Nonspecialized
16,073,Farming
16,075,Nonspecialized
16,077,Farming
16,079,Mining
16,081,Nonspecialized
16,083,Nonspecialized
16,085,Government
16,087,Nonspecialized
17,001,Manufacturing
17,003,Nonspecialized
17,005,Government
17,007,Manufacturing
17,009,Government
17,011,Nonspecialized
17,013,Farming
17,015,Nonspecialized
17,017,Manufacturing
17,019,Government
17,021,Nonspecialized
17,023,Manufacturing
17,025,Manufacturing
17,027,Nonspecialized
17,029,Nonspecialized
17,031,Service
17,033,Manufacturing
17,035,Nonspecialized
17,037,Government
17,039,Nonspecialized
17,041,Manufacturing
17,043,Service
17,045,Farming
17,047,Manufacturing
17,049,Manufacturing
17,051,Nonspecialized
17,053,Nonspecialized
17,055,Nonspecialized
17,057,Nonspecialized
17,059,Mining
17,061,Nonspecialized
17,063,Nonspecialized
17,065,Nonspecialized
17,067,Manufacturing
17,069,Mining
17,071,Nonspecialized
17,073,Nonspecialized
17,075,Nonspecialized
17,077,Government
17,079,Nonspecialized
17,081,Nonspecialized
17,083,Service
17,085,Manufacturing
17,087,Government
17,089,Nonspecialized
17,091,Nonspecialized
17,093,Manufacturing
17,095,Nonspecialized
17,097,Nonspecialized
17,099,Nonspecialized
17,101,Mining
17,103,Manufacturing
17,105,Manufacturing
17,107,Government
17,109,Government
17,111,Manufacturing
17,113,Service
17,115,Manufacturing
17,117,Nonspecialized
17,119,Manufacturing
17,121,Manufacturing
17,123,Manufacturing
17,125,Nonspecialized
17,127,Nonspecialized
17,129,Nonspecialized
17,131,Nonspecialized
17,133,Nonspecialized
17,135,Nonspecialized
17,137,Manufacturing
17,139,Manufacturing
17,141,Manufacturing
17,143,Service
17,145,Manufacturing
17,147,Nonspecialized
17,149,Nonspecialized
17,151,Government
17,153,Nonspecialized
17,155,Manufacturing
17,157,Nonspecialized
17,159,Nonspecialized
17,161,Nonspecialized
17,163,Government
17,165,Mining
17,167,Government
17,169,Nonspecialized
17,171,Nonspecialized
17,173,Nonspecialized
17,175,Farming
17,177,Manufacturing
17,179,Manufacturing
17,181,Government
17,183,Manufacturing
17,185,Mining
17,187,Manufacturing
17,189,Manufacturing
17,191,Manufacturing
17,193,Mining
17,195,Manufacturing
17,197,Nonspecialized
17,199,Government
17,201,Manufacturing
17,203,Manufacturing
18,001,Manufacturing
18,003,Manufacturing
18,005,Manufacturing
18,007,Nonspecialized
18,009,Manufacturing
18,011,Nonspecialized
18,013,Service
18,015,Manufacturing
18,017,Manufacturing
18,019,Nonspecialized
18,021,Manufacturing
18,023,Manufacturing
18,025,Nonspecialized
18,027,Nonspecialized
18,029,Nonspecialized
18,031,Manufacturing
18,033,Manufacturing
18,035,Manufacturing
18,037,Manufacturing
18,039,Manufacturing
18,041,Manufacturing
18,043,Manufacturing
18,045,Manufacturing
18,047,Nonspecialized
18,049,Manufacturing
18,051,Manufacturing
18,053,Manufacturing
18,055,Mining
18,057,Service
18,059,Manufacturing
18,061,Manufacturing
18,063,Nonspecialized
18,065,Manufacturing
18,067,Manufacturing
18,069,Manufacturing
18,071,Manufacturing
18,073,Nonspecialized
18,075,Manufacturing
18,077,Manufacturing
18,079,Manufacturing
18,081,Service
18,083,Nonspecialized
18,085,Manufacturing
18,087,Manufacturing
18,089,Manufacturing
18,091,Manufacturing
18,093,Manufacturing
18,095,Manufacturing
18,097,Nonspecialized
18,099,Manufacturing
18,101,Government
18,103,Manufacturing
18,105,Government
18,107,Manufacturing
18,109,Nonspecialized
