Garage entries-exits by garage,,,,,
Facility Name,Union Square Garage,Off Street Parking ID,950,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
Monthly,4/1/2011,92,94,,
,4/2/2011,32,32,,
,4/3/2011,22,23,,
,4/4/2011,97,96,,
,4/5/2011,104,104,,
,4/6/2011,112,114,,
,4/7/2011,100,101,,
,4/8/2011,90,86,,
,4/9/2011,42,41,,
,4/10/2011,21,24,,
,4/11/2011,93,95,,
,4/12/2011,102,104,,
,4/13/2011,104,101,,
,4/14/2011,99,98,,
,4/15/2011,100,99,,
,4/16/2011,32,32,,
,4/17/2011,20,22,,
,4/18/2011,103,104,,
,4/19/2011,108,107,,
,4/20/2011,100,97,,
,4/21/2011,111,114,,
,4/22/2011,90,86,,
,4/23/2011,23,25,,
,4/24/2011,8,11,,
,4/25/2011,84,82,,
,4/26/2011,103,104,,
,4/27/2011,103,102,,
,4/28/2011,103,102,,
,4/29/2011,109,108,,
,4/30/2011,35,36,,
,5/1/2011,14,17,,
,5/2/2011,95,93,,
,5/3/2011,101,103,,
,5/4/2011,103,103,,
,5/5/2011,109,111,,
,5/6/2011,78,78,,
,5/7/2011,30,28,,
,5/8/2011,12,16,,
,5/9/2011,94,93,,
,5/10/2011,113,113,,
,5/11/2011,99,99,,
,5/12/2011,103,106,,
,5/13/2011,94,91,,
,5/14/2011,28,24,,
,5/15/2011,14,17,,
,5/16/2011,88,88,,
,5/17/2011,107,108,,
,5/18/2011,103,105,,
,5/19/2011,99,99,,
,5/20/2011,94,90,,
,5/21/2011,31,33,,
,5/22/2011,18,21,,
,5/23/2011,96,97,,
,5/24/2011,100,100,,
,5/25/2011,96,94,,
,5/26/2011,100,103,,
,5/27/2011,87,87,,
,5/28/2011,28,27,,
,5/29/2011,15,16,,
,5/30/2011,18,18,,
,5/31/2011,97,98,,
,6/1/2011,102,102,,
,6/2/2011,108,109,,
,6/3/2011,104,106,,
,6/4/2011,28,25,,
,6/5/2011,27,26,,
,6/6/2011,101,107,,
,6/7/2011,115,113,,
,6/8/2011,111,113,,
,6/9/2011,106,104,,
,6/10/2011,99,99,,
,6/11/2011,34,36,,
,6/12/2011,19,23,,
,6/13/2011,98,99,,
,6/14/2011,118,116,,
,6/15/2011,105,105,,
,6/16/2011,113,115,,
,6/17/2011,90,91,,
,6/18/2011,32,33,,
,6/19/2011,24,24,,
,6/20/2011,91,93,,
,6/21/2011,118,120,,
,6/22/2011,110,108,,
,6/23/2011,108,105,,
,6/24/2011,85,91,,
,6/25/2011,24,24,,
,6/26/2011,25,26,,
,6/27/2011,109,110,,
,6/28/2011,125,125,,
,6/29/2011,110,109,,
,6/30/2011,104,107,,
,7/1/2011,99,97,,
,7/2/2011,28,27,,
,7/3/2011,26,28,,
,7/4/2011,20,21,,
,7/5/2011,109,110,,
,7/6/2011,99,102,,
,7/7/2011,98,102,,
,7/8/2011,112,113,,
,7/9/2011,28,27,,
,7/10/2011,18,20,,
,7/11/2011,95,96,,
,7/12/2011,107,106,,
,7/13/2011,110,109,,
,7/14/2011,100,103,,
,7/15/2011,93,95,,
,7/16/2011,30,31,,
,7/17/2011,26,26,,
,7/18/2011,94,97,,
,7/19/2011,109,109,,
,7/20/2011,102,104,,
,7/21/2011,104,107,,
,7/22/2011,96,94,,
,7/23/2011,34,36,,
,7/24/2011,23,24,,
,7/25/2011,97,98,,
,7/26/2011,110,110,,
,7/27/2011,94,95,,
,7/28/2011,110,112,,
,7/29/2011,90,88,,
,7/30/2011,31,33,,
,7/31/2011,30,29,,
,8/1/2011,100,100,,
,8/2/2011,103,104,,
,8/3/2011,110,114,,
,8/4/2011,114,112,,
,8/5/2011,95,98,,
,8/6/2011,32,34,,
,8/7/2011,32,33,,
,8/8/2011,106,105,,
,8/9/2011,101,103,,
,8/10/2011,105,104,,
,8/11/2011,123,124,,
,8/12/2011,82,85,,
,8/13/2011,35,34,,
,8/14/2011,21,24,,
,8/15/2011,102,102,,
,8/16/2011,109,107,,
,8/17/2011,101,102,,
,8/18/2011,107,108,,
,8/19/2011,96,98,,
,8/20/2011,29,29,,
,8/21/2011,22,23,,
,8/22/2011,108,105,,
,8/23/2011,114,113,,
,8/24/2011,110,110,,
,8/25/2011,99,95,,
,8/26/2011,94,100,,
,8/27/2011,35,36,,
,8/28/2011,23,26,,
,8/29/2011,91,91,,
,8/30/2011,96,98,,
,8/31/2011,100,101,,
,9/1/2011,96,97,,
,9/2/2011,82,83,,
,9/3/2011,26,25,,
,9/4/2011,23,25,,
,9/5/2011,26,26,,
,9/6/2011,103,104,,
,9/7/2011,105,107,,
,9/8/2011,114,116,,
,9/9/2011,93,89,,
,9/10/2011,31,33,,
,9/11/2011,24,24,,
,9/12/2011,93,96,,
,9/13/2011,102,102,,
,9/14/2011,95,95,,
,9/15/2011,105,105,,
,9/16/2011,84,85,,
,9/17/2011,29,28,,
,9/18/2011,22,24,,
,9/19/2011,90,91,,
,9/20/2011,104,103,,
,9/21/2011,92,95,,
,9/22/2011,97,96,,
,9/23/2011,96,94,,
,9/24/2011,34,36,,
,9/25/2011,25,26,,
,9/26/2011,83,85,,
,9/27/2011,100,96,,
,9/28/2011,96,97,,
,9/29/2011,97,100,,
,9/30/2011,91,92,,
,10/1/2011,35,36,,
,10/2/2011,18,19,,
,10/3/2011,85,84,,
,10/4/2011,99,101,,
,10/5/2011,104,107,,
,10/6/2011,87,91,,
,10/7/2011,91,93,,
,10/8/2011,39,39,,
,10/9/2011,20,22,,
,10/10/2011,91,92,,
,10/11/2011,109,104,,
,10/12/2011,133,136,,
,10/13/2011,111,112,,
,10/14/2011,103,102,,
,10/15/2011,69,71,,
,10/16/2011,61,65,,
,10/17/2011,100,100,,
,10/18/2011,110,108,,
,10/19/2011,88,93,,
,10/20/2011,95,93,,
,10/21/2011,93,97,,
,10/22/2011,36,34,,
,10/23/2011,19,22,,
,10/24/2011,94,92,,
,10/25/2011,91,94,,
,10/26/2011,102,100,,
,10/27/2011,107,111,,
,10/28/2011,90,92,,
,10/29/2011,26,26,,
,10/30/2011,13,13,,
,10/31/2011,95,94,,
,11/1/2011,108,109,,
,11/2/2011,107,108,,
,11/3/2011,96,97,,
,11/4/2011,90,92,,
,11/5/2011,33,33,,
,11/6/2011,25,26,,
,11/7/2011,92,95,,
,11/8/2011,108,108,,
,11/9/2011,97,98,,
,11/10/2011,99,100,,
,11/11/2011,101,102,,
,11/12/2011,36,36,,
,11/13/2011,24,26,,
,11/14/2011,87,88,,
,11/15/2011,115,116,,
,11/16/2011,109,109,,
,11/17/2011,100,103,,
,11/18/2011,102,98,,
,11/19/2011,32,35,,
,11/20/2011,26,27,,
,11/21/2011,106,106,,
,11/22/2011,99,99,,
,11/23/2011,92,92,,
,11/24/2011,10,11,,
,11/25/2011,47,46,,
,11/26/2011,30,31,,
,11/27/2011,29,33,,
,11/28/2011,90,93,,
,11/29/2011,102,102,,
,11/30/2011,95,98,,
,12/1/2011,95,94,,
,12/2/2011,97,99,,
,12/3/2011,35,35,,
,12/4/2011,29,32,,
,12/5/2011,106,108,,
,12/6/2011,116,118,,
,12/7/2011,116,115,,
,12/8/2011,112,117,,
,12/9/2011,102,103,,
,12/10/2011,34,35,,
,12/11/2011,29,31,,
,12/12/2011,102,106,,
,12/13/2011,115,117,,
,12/14/2011,113,116,,
,12/15/2011,118,117,,
,12/16/2011,104,105,,
,12/17/2011,35,36,,
,12/18/2011,30,30,,
,12/19/2011,102,103,,
,12/20/2011,99,105,,
,12/21/2011,94,94,,
,12/22/2011,99,103,,
,12/23/2011,74,76,,
,12/24/2011,30,30,,
,12/25/2011,6,7,,
,12/26/2011,35,37,,
,12/27/2011,69,67,,
,12/28/2011,70,74,,
,12/29/2011,67,70,,
,12/30/2011,51,53,,
,12/31/2011,26,27,,
,1/1/2012,23,26,,
,1/2/2012,56,58,,
,1/3/2012,100,104,,
,1/4/2012,98,101,,
,1/5/2012,106,105,,
,1/6/2012,96,97,,
,1/7/2012,28,31,,
,1/8/2012,29,31,,
,1/9/2012,97,99,,
,1/10/2012,99,101,,
,1/11/2012,102,101,,
,1/12/2012,104,112,,
,1/13/2012,100,99,,
,1/14/2012,24,25,,
,1/15/2012,19,20,,
,1/16/2012,76,80,,
,1/17/2012,97,97,,
,1/18/2012,99,101,,
,1/19/2012,101,100,,
,1/20/2012,96,101,,
,1/21/2012,24,26,,
,1/22/2012,9,12,,
,1/23/2012,93,96,,
,1/24/2012,111,113,,
,1/25/2012,106,110,,
,1/26/2012,105,109,,
,1/27/2012,104,104,,
,1/28/2012,27,28,,
,1/29/2012,14,18,,
,1/30/2012,94,90,,
,1/31/2012,101,106,,
,2/1/2012,102,106,,
,2/2/2012,106,111,,
,2/3/2012,105,108,,
,2/4/2012,31,29,,
,2/5/2012,21,23,,
,2/6/2012,106,107,,
,2/7/2012,100,104,,
,2/8/2012,112,115,,
,2/9/2012,128,127,,
,2/10/2012,100,96,,
,2/11/2012,22,23,,
,2/12/2012,19,22,,
,2/13/2012,101,107,,
,2/14/2012,107,106,,
,2/15/2012,118,121,,
,2/16/2012,92,95,,
,2/17/2012,95,96,,
,2/18/2012,22,25,,
,2/19/2012,20,20,,
,2/20/2012,40,41,,
,2/21/2012,99,98,,
,2/22/2012,90,95,,
,2/23/2012,101,104,,
,2/24/2012,99,99,,
,2/25/2012,25,28,,
,2/26/2012,16,19,,
,2/27/2012,98,98,,
,2/28/2012,105,103,,
,2/29/2012,102,108,,
,3/1/2012,105,106,,
,3/2/2012,97,98,,
,3/3/2012,31,33,,
,3/4/2012,25,27,,
,3/5/2012,103,104,,
,3/6/2012,106,110,,
,3/7/2012,108,111,,
,3/8/2012,99,99,,
,3/9/2012,98,98,,
,3/10/2012,20,20,,
,3/11/2012,19,22,,
,3/12/2012,98,101,,
,3/13/2012,102,99,,
,3/14/2012,107,112,,
,3/15/2012,99,96,,
,3/16/2012,91,91,,
,3/17/2012,24,27,,
,3/18/2012,23,25,,
,3/19/2012,100,103,,
,3/20/2012,100,99,,
,3/21/2012,105,106,,
,3/22/2012,111,115,,
,3/23/2012,101,100,,
,3/24/2012,18,19,,
,3/25/2012,24,26,,
,3/26/2012,105,104,,
,3/27/2012,103,106,,
,3/28/2012,112,113,,
,3/29/2012,105,109,,
,3/30/2012,98,97,,
,3/31/2012,27,30,,
,4/1/2012,27,28,,
,4/2/2012,95,95,,
,4/3/2012,103,103,,
,4/4/2012,101,103,,
,4/5/2012,119,118,,
,4/6/2012,99,100,,
,4/7/2012,29,29,,
,4/8/2012,16,18,,
,4/9/2012,94,96,,
,4/10/2012,104,104,,
,4/11/2012,96,98,,
,4/12/2012,95,98,,
,4/13/2012,95,92,,
,4/14/2012,26,27,,
,4/15/2012,20,23,,
,4/16/2012,103,104,,
,4/17/2012,102,106,,
,4/18/2012,105,105,,
,4/19/2012,101,106,,
,4/20/2012,99,99,,
,4/21/2012,32,34,,
,4/22/2012,20,22,,
,4/23/2012,92,95,,
,4/24/2012,100,99,,
,4/25/2012,105,109,,
,4/26/2012,105,107,,
,4/27/2012,92,92,,
,4/28/2012,28,28,,
,4/29/2012,21,25,,
,4/30/2012,94,93,,
,5/1/2012,109,113,,
,5/2/2012,110,113,,
,5/3/2012,108,109,,
,5/4/2012,105,106,,
,5/5/2012,39,39,,
,5/6/2012,20,22,,
,5/7/2012,109,110,,
,5/8/2012,113,111,,
,5/9/2012,109,114,,
,5/10/2012,106,105,,
,5/11/2012,113,110,,
,5/12/2012,35,37,,
,5/13/2012,18,18,,
,5/14/2012,100,101,,
,5/15/2012,112,115,,
,5/16/2012,110,113,,
,5/17/2012,124,127,,
,5/18/2012,98,96,,
,5/19/2012,31,32,,
,5/20/2012,25,26,,
,5/21/2012,105,107,,
,5/22/2012,126,125,,
,5/23/2012,125,127,,
,5/24/2012,111,113,,
,5/25/2012,91,88,,
,5/26/2012,35,37,,
,5/27/2012,25,26,,
,5/28/2012,35,35,,
,5/29/2012,109,113,,
,5/30/2012,109,113,,
,5/31/2012,105,108,,
,6/1/2012,105,106,,
,6/2/2012,41,38,,
,6/3/2012,24,25,,
,6/4/2012,102,104,,
,6/5/2012,112,116,,
,6/6/2012,119,118,,
,6/7/2012,118,124,,
,6/8/2012,128,130,,
,6/9/2012,58,58,,
,6/10/2012,28,33,,
,6/11/2012,107,107,,
,6/12/2012,126,127,,
,6/13/2012,110,113,,
,6/14/2012,102,103,,
,6/15/2012,97,96,,
,6/16/2012,37,37,,
,6/17/2012,28,33,,
,6/18/2012,108,110,,
,6/19/2012,117,118,,
,6/20/2012,112,117,,
,6/21/2012,115,116,,
,6/22/2012,97,96,,
,6/23/2012,43,41,,
,6/24/2012,38,43,,
,6/25/2012,104,107,,
,6/26/2012,123,129,,
,6/27/2012,123,126,,
,6/28/2012,126,126,,
,6/29/2012,118,114,,
,6/30/2012,47,44,,
,7/1/2012,45,53,,
,7/2/2012,91,94,,
,7/3/2012,107,110,,
,7/4/2012,29,32,,
,7/5/2012,93,92,,
,7/6/2012,89,87,,
,7/7/2012,43,45,,
,7/8/2012,33,40,,
,7/9/2012,97,99,,
,7/10/2012,127,128,,
,7/11/2012,113,118,,
,7/12/2012,117,120,,
,7/13/2012,109,106,,
,7/14/2012,44,46,,
,7/15/2012,38,40,,
,7/16/2012,106,108,,
,7/17/2012,120,123,,
,7/18/2012,116,118,,
,7/19/2012,109,111,,
,7/20/2012,123,120,,
,7/21/2012,52,55,,
,7/22/2012,35,36,,
,7/23/2012,109,111,,
,7/24/2012,108,110,,
,7/25/2012,113,116,,
,7/26/2012,104,107,,
,7/27/2012,103,105,,
,7/28/2012,41,44,,
,7/29/2012,33,35,,
,7/30/2012,98,98,,
,7/31/2012,110,115,,
,8/1/2012,115,121,,
,8/2/2012,112,112,,
,8/3/2012,93,95,,
,8/4/2012,39,44,,
,8/5/2012,33,36,,
,8/6/2012,101,104,,
,8/7/2012,122,124,,
,8/8/2012,114,117,,
,8/9/2012,113,122,,
,8/10/2012,99,93,,
,8/11/2012,47,45,,
,8/12/2012,28,35,,
,8/13/2012,105,107,,
,8/14/2012,100,100,,
,8/15/2012,111,110,,
,8/16/2012,103,104,,
,8/17/2012,84,83,,
,8/18/2012,32,33,,
,8/19/2012,30,31,,
,8/20/2012,97,97,,
,8/21/2012,114,116,,
,8/22/2012,106,105,,
,8/23/2012,116,114,,
,8/24/2012,99,96,,
,8/25/2012,38,37,,
,8/26/2012,30,34,,
,8/27/2012,101,103,,
,8/28/2012,110,107,,
,8/29/2012,101,100,,
,8/30/2012,96,101,,
,8/31/2012,81,80,,
,9/1/2012,32,31,,
,9/2/2012,13,15,,
,9/3/2012,16,16,,
,9/4/2012,108,105,,
,9/5/2012,93,95,,
,9/6/2012,103,103,,
,9/7/2012,103,103,,
,9/8/2012,29,29,,
,9/9/2012,25,27,,
,9/10/2012,101,99,,
,9/11/2012,110,115,,
,9/12/2012,97,97,,
,9/13/2012,108,104,,
,9/14/2012,90,91,,
,9/15/2012,41,41,,
,9/16/2012,24,27,,
,9/17/2012,86,86,,
,9/18/2012,97,99,,
,9/19/2012,105,107,,
,9/20/2012,102,102,,
,9/21/2012,91,86,,
,9/22/2012,33,34,,
,9/23/2012,21,22,,
,9/24/2012,101,101,,
,9/25/2012,102,102,,
,9/26/2012,110,108,,
,9/27/2012,102,102,,
,9/28/2012,101,96,,
,9/29/2012,40,41,,
,9/30/2012,30,32,,
,10/1/2012,98,96,,
,10/2/2012,102,105,,
,10/3/2012,113,112,,
,10/4/2012,115,112,,
,10/5/2012,111,110,,
,10/6/2012,32,33,,
,10/7/2012,21,25,,
,10/8/2012,81,79,,
,10/9/2012,112,114,,
,10/10/2012,170,169,,
,10/11/2012,136,136,,
,10/12/2012,130,126,,
,10/13/2012,68,71,,
,10/14/2012,75,74,,
,10/15/2012,93,94,,
,10/16/2012,106,105,,
,10/17/2012,120,120,,
,10/18/2012,118,116,,
,10/19/2012,108,109,,
,10/20/2012,26,24,,
,10/21/2012,26,30,,
,10/22/2012,84,83,,
,10/23/2012,118,119,,
,10/24/2012,112,110,,
,10/25/2012,118,117,,
,10/26/2012,106,108,,
,10/27/2012,28,30,,
,10/28/2012,21,21,,
,10/29/2012,103,102,,
,10/30/2012,125,124,,
,10/31/2012,99,99,,
,11/1/2012,106,106,,
,11/2/2012,116,115,,
,11/3/2012,32,32,,
,11/4/2012,26,27,,
,11/5/2012,101,103,,
,11/6/2012,113,115,,
,11/7/2012,116,116,,
,11/8/2012,121,120,,
,11/9/2012,131,126,,
,11/10/2012,38,40,,
,11/11/2012,23,23,,
,11/12/2012,81,83,,
,11/13/2012,96,96,,
,11/14/2012,100,101,,
,11/15/2012,116,114,,
,11/16/2012,96,96,,
,11/17/2012,28,28,,
,11/18/2012,33,34,,
,11/19/2012,102,103,,
,11/20/2012,114,112,,
,11/21/2012,89,88,,
,11/22/2012,18,18,,
,11/23/2012,55,53,,
,11/24/2012,38,40,,
,11/25/2012,30,32,,
,11/26/2012,101,104,,
,11/27/2012,122,121,,
,11/28/2012,86,87,,
,11/29/2012,123,121,,
,11/30/2012,96,92,,
,12/1/2012,38,39,,
,12/2/2012,26,27,,
,12/3/2012,99,97,,
,12/4/2012,107,110,,
,12/5/2012,108,110,,
,12/6/2012,112,111,,
,12/7/2012,121,117,,
,12/8/2012,48,48,,
,12/9/2012,35,38,,
,12/10/2012,109,111,,
,12/11/2012,109,107,,
,12/12/2012,122,122,,
,12/13/2012,118,118,,
,12/14/2012,115,109,,
,12/15/2012,34,38,,
,12/16/2012,24,29,,
,12/17/2012,115,115,,
,12/18/2012,128,127,,
,12/19/2012,112,112,,
,12/20/2012,120,120,,
,12/21/2012,106,101,,
,12/22/2012,45,43,,
,12/23/2012,33,37,,
,12/24/2012,49,50,,
,12/25/2012,9,9,,
,12/26/2012,62,61,,
,12/27/2012,82,82,,
