Garage entries-exits by garage,,,,,
Facility Name,Japan Center Annex Garage,Off Street Parking ID,936,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,2/5/2012,47,48,,
,2/6/2012,97,95,,
,2/7/2012,104,107,,
,2/8/2012,105,108,,
,2/9/2012,111,110,,
,2/10/2012,108,114,,
,2/11/2012,71,72,,
,2/12/2012,51,46,,
,2/13/2012,99,95,,
,2/14/2012,113,114,,
,2/15/2012,101,102,,
,2/16/2012,106,105,,
,2/17/2012,100,109,,
,2/18/2012,65,58,,
,2/19/2012,41,45,,
,2/20/2012,75,72,,
,2/21/2012,100,95,,
,2/22/2012,105,107,,
,2/23/2012,102,100,,
,2/24/2012,105,107,,
,2/25/2012,66,65,,
,2/26/2012,50,52,,
,2/27/2012,94,94,,
,2/28/2012,123,120,,
,2/29/2012,123,124,,
,3/1/2012,120,120,,
,3/2/2012,110,111,,
,3/3/2012,69,68,,
,3/4/2012,57,55,,
,3/5/2012,92,95,,
,3/6/2012,118,119,,
,3/7/2012,110,112,,
,3/8/2012,117,117,,
,3/9/2012,119,116,,
,3/10/2012,69,66,,
,3/11/2012,53,56,,
,3/12/2012,100,98,,
,3/13/2012,117,119,,
,3/14/2012,117,118,,
,3/15/2012,125,125,,
,3/16/2012,115,119,,
,3/17/2012,65,63,,
,3/18/2012,50,48,,
,3/19/2012,96,98,,
,3/20/2012,111,109,,
,3/21/2012,118,117,,
,3/22/2012,104,103,,
,3/23/2012,105,110,,
,3/24/2012,74,77,,
,3/25/2012,46,45,,
,3/26/2012,96,94,,
,3/27/2012,114,113,,
,3/28/2012,115,118,,
,3/29/2012,117,114,,
,3/30/2012,111,112,,
,3/31/2012,70,74,,
,4/1/2012,62,54,,
,4/2/2012,95,90,,
,4/3/2012,121,122,,
,4/4/2012,123,125,,
,4/5/2012,113,111,,
,4/6/2012,101,103,,
,4/7/2012,71,81,,
,4/8/2012,47,43,,
,4/9/2012,79,78,,
,4/10/2012,116,116,,
,4/11/2012,115,115,,
,4/12/2012,116,118,,
,4/13/2012,126,127,,
,4/14/2012,70,71,,
,4/15/2012,51,48,,
,4/16/2012,88,84,,
,4/17/2012,116,116,,
,4/18/2012,113,111,,
,4/19/2012,115,115,,
,4/20/2012,113,119,,
,4/21/2012,70,68,,
,4/22/2012,45,49,,
,4/23/2012,103,103,,
,4/24/2012,119,110,,
,4/25/2012,106,113,,
,4/26/2012,123,118,,
,4/27/2012,108,106,,
,4/28/2012,73,74,,
,4/29/2012,48,52,,
,4/30/2012,97,94,,
,5/1/2012,125,130,,
,5/2/2012,125,115,,
,5/3/2012,127,126,,
,5/4/2012,103,107,,
,5/5/2012,74,78,,
,5/6/2012,55,54,,
,5/7/2012,94,89,,
,5/8/2012,103,110,,
,5/9/2012,105,100,,
,5/10/2012,115,118,,
,5/11/2012,116,118,,
,5/12/2012,67,67,,
,5/13/2012,46,43,,
,5/14/2012,96,94,,
,5/15/2012,109,112,,
,5/16/2012,111,110,,
,5/17/2012,119,124,,
,5/18/2012,110,108,,
,5/19/2012,71,69,,
,5/20/2012,52,50,,
,5/21/2012,90,90,,
,5/22/2012,122,121,,
,5/23/2012,117,114,,
,5/24/2012,117,123,,
,5/25/2012,109,107,,
,5/26/2012,66,65,,
,5/27/2012,49,52,,
,5/28/2012,61,57,,
,5/29/2012,108,109,,
,5/30/2012,110,105,,
,5/31/2012,109,113,,
,6/1/2012,124,124,,
,6/2/2012,71,71,,
,6/3/2012,50,48,,
