Garage entries-exits by garage,,,,,
Facility Name,16th and Hoff Garage,Off Street Parking ID,930,Parking Management District,Mission
Usage Type,Date,Total Entries,Total Exits,,
,2/20/2012,113.00,114.00,,
,2/21/2012,123.00,117.00,,
,2/22/2012,130.00,131.00,,
,2/23/2012,139.00,137.00,,
,2/24/2012,172.00,155.00,,
,2/25/2012,216.00,215.00,,
,2/26/2012,150.00,161.00,,
,2/27/2012,111.00,108.00,,
,2/28/2012,142.00,146.00,,
,2/29/2012,127.00,122.00,,
,3/1/2012,143.00,144.00,,
,3/2/2012,182.00,159.00,,
,3/3/2012,251.00,240.00,,
,3/4/2012,182.00,212.00,,
,3/5/2012,105.00,104.00,,
,3/6/2012,144.00,141.00,,
,3/7/2012,127.00,127.00,,
,3/8/2012,155.00,157.00,,
,3/9/2012,174.00,158.00,,
,3/10/2012,256.00,237.00,,
,3/11/2012,179.00,207.00,,
,3/12/2012,125.00,126.00,,
,3/13/2012,137.00,137.00,,
,3/14/2012,142.00,140.00,,
,3/15/2012,161.00,159.00,,
,3/16/2012,196.00,171.00,,
,3/17/2012,216.00,211.00,,
,3/18/2012,194.00,219.00,,
,3/19/2012,110.00,112.00,,
,3/20/2012,153.00,151.00,,
,3/21/2012,151.00,151.00,,
,3/22/2012,152.00,146.00,,
,3/23/2012,190.00,171.00,,
,3/24/2012,220.00,212.00,,
,3/25/2012,184.00,206.00,,
,3/26/2012,118.00,118.00,,
,3/27/2012,130.00,127.00,,
,3/28/2012,136.00,132.00,,
,3/29/2012,129.00,129.00,,
,3/30/2012,202.00,179.00,,
,3/31/2012,240.00,232.00,,
,4/1/2012,188.00,216.00,,
,4/2/2012,104.00,99.00,,
,4/3/2012,154.00,149.00,,
,4/4/2012,152.00,148.00,,
,4/5/2012,134.00,134.00,,
,4/6/2012,190.00,173.00,,
,4/7/2012,245.00,239.00,,
,4/8/2012,170.00,189.00,,
,4/9/2012,113.00,116.00,,
,4/10/2012,157.00,148.00,,
,4/11/2012,150.00,151.00,,
,4/12/2012,145.00,145.00,,
,4/13/2012,207.00,179.00,,
,4/14/2012,237.00,227.00,,
,4/15/2012,202.00,225.00,,
,4/16/2012,115.00,114.00,,
,4/17/2012,140.00,138.00,,
,4/18/2012,148.00,147.00,,
,4/19/2012,152.00,151.00,,
,4/20/2012,201.00,176.00,,
,4/21/2012,232.00,226.00,,
,4/22/2012,199.00,226.00,,
,4/23/2012,94.00,95.00,,
,4/24/2012,144.00,143.00,,
,4/25/2012,141.00,139.00,,
,4/26/2012,141.00,137.00,,
,4/27/2012,188.00,163.00,,
,4/28/2012,220.00,201.00,,
,4/29/2012,173.00,205.00,,
,4/30/2012,125.00,124.00,,
,5/1/2012,122.00,119.00,,
,5/2/2012,124.00,119.00,,
,5/3/2012,128.00,131.00,,
,5/4/2012,213.00,188.00,,
,5/5/2012,254.00,251.00,,
,5/6/2012,180.00,202.00,,
,5/7/2012,127.00,127.00,,
,5/8/2012,150.00,151.00,,
,5/9/2012,145.00,139.00,,
,5/10/2012,166.00,167.00,,
,5/11/2012,165.00,147.00,,
,5/12/2012,200.00,190.00,,
,5/13/2012,157.00,172.00,,
,5/14/2012,116.00,116.00,,
,5/15/2012,139.00,134.00,,
,5/16/2012,148.00,145.00,,
,5/17/2012,147.00,147.00,,
,5/18/2012,191.00,159.00,,
,5/19/2012,186.00,191.00,,
,5/20/2012,156.00,169.00,,
,5/21/2012,120.00,119.00,,
,5/22/2012,154.00,153.00,,
,5/23/2012,154.00,150.00,,
,5/24/2012,150.00,147.00,,
,5/25/2012,204.00,187.00,,
,5/26/2012,214.00,209.00,,
,5/27/2012,198.00,212.00,,
,5/28/2012,112.00,114.00,,
,5/29/2012,138.00,138.00,,
,5/30/2012,157.00,156.00,,
,5/31/2012,144.00,141.00,,
,6/1/2012,178.00,164.00,,
,6/2/2012,231.00,211.00,,
,6/3/2012,183.00,212.00,,
,6/4/2012,123.00,122.00,,
,6/5/2012,145.00,143.00,,
,6/6/2012,150.00,147.00,,
,6/7/2012,154.00,154.00,,
,6/8/2012,164.00,153.00,,
,6/9/2012,213.00,186.00,,
,6/10/2012,161.00,177.00,,
,6/11/2012,124.00,117.00,,
,6/12/2012,134.00,131.00,,
,6/13/2012,153.00,153.00,,
,6/14/2012,169.00,163.00,,
,6/15/2012,179.00,164.00,,
,6/16/2012,214.00,212.00,,
,6/17/2012,186.00,200.00,,
,6/18/2012,155.00,154.00,,
,6/19/2012,156.00,154.00,,
,6/20/2012,176.00,174.00,,
,6/21/2012,164.00,163.00,,
,6/22/2012,208.00,181.00,,
,6/23/2012,186.00,164.00,,
,6/24/2012,142.00,171.00,,
,6/25/2012,147.00,145.00,,
,6/26/2012,135.00,135.00,,
,6/27/2012,132.00,127.00,,
,6/28/2012,133.00,136.00,,
,6/29/2012,192.00,170.00,,
,6/30/2012,208.00,199.00,,
,7/1/2012,193.00,215.00,,
,7/2/2012,129.00,121.00,,
,7/3/2012,165.00,163.00,,
,7/4/2012,60.00,62.00,,
,7/5/2012,153.00,155.00,,
,7/6/2012,181.00,162.00,,
,7/7/2012,178.00,176.00,,
,7/8/2012,127.00,134.00,,
,7/9/2012,132.00,131.00,,
,7/10/2012,153.00,154.00,,
,7/11/2012,135.00,133.00,,
,7/12/2012,159.00,155.00,,
