Garage entries-exits by garage,,,,,
Facility Name,Lombard Street Garage,Off Street Parking ID,938,Parking Management District,Marina
Usage Type,Date,Total Entries,Total Exits,,
,4/7/2012,44,43,,
,4/8/2012,30,28,,
,4/9/2012,78,78,,
,4/10/2012,87,87,,
,4/11/2012,97,93,,
,4/12/2012,101,102,,
,4/13/2012,89,88,,
,4/14/2012,40,43,,
,4/15/2012,42,42,,
,4/16/2012,93,93,,
,4/17/2012,97,91,,
,4/18/2012,82,85,,
,4/19/2012,89,89,,
,4/20/2012,87,89,,
,4/21/2012,30,36,,
,4/22/2012,25,21,,
,4/23/2012,85,87,,
,4/24/2012,90,88,,
,4/25/2012,87,84,,
,4/26/2012,92,93,,
,4/27/2012,65,65,,
,4/28/2012,27,30,,
,4/29/2012,40,36,,
,4/30/2012,84,86,,
,5/1/2012,82,74,,
,5/2/2012,82,85,,
,5/3/2012,82,85,,
,5/4/2012,72,71,,
,5/5/2012,23,25,,
,5/6/2012,29,25,,
,5/7/2012,86,90,,
,5/8/2012,80,80,,
,5/9/2012,94,85,,
,5/10/2012,94,89,,
,5/11/2012,81,82,,
,5/12/2012,24,32,,
,5/13/2012,27,27,,
,5/14/2012,88,88,,
,5/15/2012,91,86,,
,5/16/2012,86,88,,
,5/17/2012,87,86,,
,5/18/2012,83,85,,
,5/19/2012,35,40,,
,5/20/2012,25,19,,
,5/21/2012,87,88,,
,5/22/2012,86,87,,
,5/23/2012,92,87,,
,5/24/2012,84,89,,
,5/25/2012,88,88,,
,5/26/2012,26,32,,
,5/27/2012,23,17,,
,5/28/2012,27,27,,
,5/29/2012,87,83,,
,5/30/2012,86,89,,
,5/31/2012,91,91,,
,6/1/2012,70,73,,
,6/2/2012,38,43,,
,6/3/2012,48,43,,
,6/4/2012,91,89,,
,6/5/2012,85,87,,
,6/6/2012,83,79,,
,6/7/2012,82,83,,
,6/8/2012,87,85,,
,6/9/2012,40,50,,
,6/10/2012,40,35,,
,6/11/2012,90,93,,
,6/12/2012,82,80,,
,6/13/2012,83,86,,
,6/14/2012,86,80,,
,6/15/2012,87,81,,
,6/16/2012,44,53,,
,6/17/2012,25,28,,
,6/18/2012,92,88,,
,6/19/2012,94,90,,
,6/20/2012,92,91,,
,6/21/2012,88,88,,
,6/22/2012,78,84,,
,6/23/2012,41,44,,
,6/24/2012,26,25,,
,6/25/2012,95,90,,
,6/26/2012,91,91,,
,6/27/2012,86,86,,
,6/28/2012,93,96,,
,6/29/2012,92,88,,
,6/30/2012,44,51,,
,7/1/2012,33,30,,
,7/2/2012,84,80,,
,7/3/2012,81,85,,
,7/4/2012,30,32,,
,7/5/2012,84,79,,
,7/6/2012,73,75,,
,7/7/2012,23,26,,
,7/8/2012,29,21,,
,7/9/2012,88,85,,
,7/10/2012,90,89,,
,7/11/2012,95,96,,
,7/12/2012,101,105,,
,7/13/2012,91,94,,
,7/14/2012,33,32,,
,7/15/2012,27,24,,
,7/16/2012,95,90,,
,7/17/2012,95,97,,
,7/18/2012,92,91,,
,7/19/2012,101,100,,
,7/20/2012,81,86,,
,7/21/2012,40,41,,
,7/22/2012,44,42,,
,7/23/2012,92,89,,
,7/24/2012,87,90,,
,7/25/2012,86,87,,
,7/26/2012,78,80,,
,7/27/2012,85,93,,
,7/28/2012,43,46,,
,7/29/2012,31,24,,
,7/30/2012,89,94,,
,7/31/2012,92,89,,
,8/1/2012,93,96,,
,8/2/2012,97,93,,
,8/3/2012,75,80,,
,8/4/2012,34,39,,
,8/5/2012,30,24,,
,8/6/2012,90,94,,
,8/7/2012,89,86,,
,8/8/2012,90,89,,
,8/9/2012,94,93,,
,8/10/2012,74,76,,
,8/11/2012,36,38,,
,8/12/2012,25,24,,
,8/13/2012,86,83,,
,8/14/2012,86,82,,
,8/15/2012,81,81,,
,8/16/2012,89,88,,
,8/17/2012,73,80,,
,8/18/2012,28,30,,
,8/19/2012,21,23,,
,8/20/2012,87,83,,
,8/21/2012,91,87,,
,8/22/2012,102,101,,
,8/23/2012,85,86,,
,8/24/2012,81,79,,
,8/25/2012,38,45,,
,8/26/2012,29,24,,
,8/27/2012,87,87,,
,8/28/2012,87,87,,
,8/29/2012,89,88,,
,8/30/2012,95,100,,
,8/31/2012,82,82,,
,9/1/2012,31,37,,
,9/2/2012,12,18,,
,9/3/2012,31,23,,
,9/4/2012,86,76,,
,9/5/2012,87,93,,
,9/6/2012,87,85,,
,9/7/2012,94,96,,
,9/8/2012,32,39,,
,9/9/2012,31,23,,
,9/10/2012,89,88,,
,9/11/2012,92,91,,
,9/12/2012,94,93,,
,9/13/2012,93,91,,
,9/14/2012,91,91,,
,9/15/2012,35,41,,
,9/16/2012,38,32,,
,9/17/2012,85,88,,
,9/18/2012,92,85,,
,9/19/2012,88,94,,
,9/20/2012,88,89,,
,9/21/2012,82,79,,
,9/22/2012,38,42,,
,9/23/2012,25,26,,
,9/24/2012,83,85,,
,9/25/2012,94,93,,
,9/26/2012,78,77,,
,9/27/2012,82,77,,
,9/28/2012,83,84,,
,9/29/2012,29,35,,
,9/30/2012,33,28,,
,10/1/2012,92,84,,
,10/2/2012,82,86,,
,10/3/2012,86,87,,
,10/4/2012,90,90,,
,10/5/2012,83,83,,
,10/6/2012,33,34,,
,10/7/2012,25,24,,
,10/8/2012,78,80,,
,10/9/2012,82,81,,
,10/10/2012,78,76,,
,10/11/2012,82,85,,
,10/12/2012,84,87,,
,10/13/2012,32,36,,
,10/14/2012,33,28,,
,10/15/2012,79,80,,
,10/16/2012,84,87,,
,10/17/2012,106,102,,
,10/18/2012,88,87,,
,10/19/2012,76,80,,
,10/20/2012,36,39,,
,10/21/2012,30,24,,
,10/22/2012,75,49,,
,10/23/2012,89,94,,
,10/24/2012,97,90,,
,10/25/2012,94,93,,
,10/26/2012,89,92,,
,10/27/2012,33,34,,
,10/28/2012,36,32,,
,10/29/2012,93,92,,
,10/30/2012,97,97,,
,10/31/2012,95,96,,
,11/1/2012,101,95,,
,11/2/2012,98,99,,
,11/3/2012,41,47,,
,11/4/2012,27,25,,
,11/5/2012,97,96,,
,11/6/2012,90,90,,
,11/7/2012,91,93,,
,11/8/2012,99,97,,
,11/9/2012,83,82,,
,11/10/2012,34,43,,
,11/11/2012,38,31,,
,11/12/2012,68,71,,
,11/13/2012,93,86,,
,11/14/2012,78,80,,
,11/15/2012,91,91,,
,11/16/2012,94,94,,
,11/17/2012,28,31,,
,11/18/2012,31,31,,
,11/19/2012,85,82,,
,11/20/2012,89,91,,
,11/21/2012,76,88,,
,11/22/2012,0,1,,
,11/23/2012,31,24,,
,11/24/2012,31,30,,
,11/25/2012,29,26,,
,11/26/2012,90,88,,
,11/27/2012,95,97,,
,11/28/2012,87,87,,
,11/29/2012,85,81,,
,11/30/2012,90,91,,
,12/1/2012,40,44,,
,12/2/2012,30,25,,
,12/3/2012,78,81,,
,12/4/2012,83,78,,
,12/5/2012,93,89,,
,12/6/2012,94,95,,
,12/7/2012,94,95,,
,12/8/2012,36,38,,
,12/9/2012,38,30,,
,12/10/2012,91,94,,
,12/11/2012,92,90,,
,12/12/2012,93,97,,
,12/13/2012,92,90,,
,12/14/2012,94,92,,
,12/15/2012,35,39,,
,12/16/2012,33,34,,
,12/17/2012,87,89,,
,12/18/2012,81,80,,
,12/19/2012,87,85,,
,12/20/2012,86,84,,
,12/21/2012,81,80,,
,12/22/2012,27,38,,
,12/23/2012,15,18,,
,12/24/2012,20,27,,
,12/25/2012,0,0,,
,12/26/2012,58,47,,
,12/27/2012,60,61,,
,12/28/2012,70,68,,
,12/29/2012,25,25,,
,12/30/2012,21,18,,
,12/31/2012,46,50,,
,1/1/2013,0,0,,
,1/2/2013,74,67,,
,1/3/2013,91,91,,
,1/4/2013,76,77,,
,1/5/2013,38,38,,
,1/6/2013,34,35,,
,1/7/2013,93,93,,
,1/8/2013,93,91,,
,1/9/2013,93,94,,
,1/10/2013,95,98,,
,1/11/2013,88,86,,
,1/12/2013,24,26,,
,1/13/2013,40,36,,
,1/14/2013,97,97,,
,1/15/2013,82,85,,
,1/16/2013,98,71,,
,1/17/2013,87,83,,
,1/18/2013,89,86,,
,1/19/2013,35,33,,
,1/20/2013,26,23,,
,1/21/2013,42,44,,
,1/22/2013,85,86,,
,1/23/2013,81,82,,
,1/24/2013,83,80,,
,1/25/2013,77,74,,
,1/26/2013,40,44,,
,1/27/2013,37,34,,
,1/28/2013,91,89,,
,1/29/2013,90,89,,
,1/30/2013,81,84,,
,1/31/2013,91,84,,
,2/1/2013,77,79,,
,2/2/2013,49,44,,
,2/3/2013,24,26,,
,2/4/2013,80,85,,
,2/5/2013,75,77,,
,2/6/2013,93,90,,
,2/7/2013,88,85,,
,2/8/2013,80,84,,
,2/9/2013,44,42,,
,2/10/2013,28,27,,
,2/11/2013,81,81,,
