Garage entries-exits by garage,,,,,
Facility Name,Moscone Center Garage,Off Street Parking ID,941,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,3/25/2012,15,18,,
,3/26/2012,151,151,,
,3/27/2012,143,141,,
,3/28/2012,146,141,,
,3/29/2012,138,143,,
,3/30/2012,132,127,,
,3/31/2012,26,29,,
,4/1/2012,17,21,,
,4/2/2012,151,147,,
,4/3/2012,154,154,,
,4/4/2012,147,145,,
,4/5/2012,155,155,,
,4/6/2012,148,142,,
,4/7/2012,29,33,,
,4/8/2012,14,16,,
,4/9/2012,148,148,,
,4/10/2012,141,143,,
,4/11/2012,152,150,,
,4/12/2012,152,152,,
,4/13/2012,136,137,,
,4/14/2012,33,33,,
,4/15/2012,10,13,,
,4/16/2012,146,143,,
,4/17/2012,153,152,,
,4/18/2012,141,141,,
,4/19/2012,144,143,,
,4/20/2012,143,143,,
,4/21/2012,31,31,,
,4/22/2012,14,15,,
,4/23/2012,144,146,,
,4/24/2012,149,150,,
,4/25/2012,144,143,,
,4/26/2012,141,143,,
,4/27/2012,129,128,,
,4/28/2012,26,29,,
,4/29/2012,19,23,,
,4/30/2012,153,152,,
,5/1/2012,149,146,,
,5/2/2012,160,158,,
,5/3/2012,152,153,,
,5/4/2012,142,137,,
,5/5/2012,26,27,,
,5/6/2012,18,24,,
,5/7/2012,176,177,,
,5/8/2012,153,148,,
,5/9/2012,167,168,,
,5/10/2012,157,157,,
,5/11/2012,144,138,,
,5/12/2012,25,26,,
,5/13/2012,18,27,,
,5/14/2012,158,160,,
,5/15/2012,156,153,,
,5/16/2012,158,157,,
,5/17/2012,145,146,,
,5/18/2012,144,138,,
,5/19/2012,31,31,,
,5/20/2012,14,16,,
,5/21/2012,142,148,,
,5/22/2012,140,138,,
,5/23/2012,136,136,,
,5/24/2012,140,142,,
,5/25/2012,130,128,,
,5/26/2012,21,22,,
,5/27/2012,15,17,,
,5/28/2012,27,25,,
,5/29/2012,141,143,,
,5/30/2012,150,148,,
,5/31/2012,157,162,,
,6/1/2012,142,138,,
,6/2/2012,31,30,,
,6/3/2012,15,19,,
,6/4/2012,150,147,,
,6/5/2012,148,151,,
,6/6/2012,155,157,,
,6/7/2012,152,152,,
,6/8/2012,149,145,,
,6/9/2012,26,26,,
,6/10/2012,15,21,,
,6/11/2012,143,143,,
,6/12/2012,150,149,,
,6/13/2012,142,138,,
,6/14/2012,146,144,,
,6/15/2012,135,131,,
,6/16/2012,29,32,,
,6/17/2012,20,24,,
,6/18/2012,148,149,,
,6/19/2012,151,151,,
,6/20/2012,151,153,,
,6/21/2012,149,143,,
,6/22/2012,133,132,,
,6/23/2012,31,33,,
,6/24/2012,10,12,,
,6/25/2012,141,141,,
,6/26/2012,152,151,,
,6/27/2012,144,145,,
,6/28/2012,147,145,,
,6/29/2012,134,132,,
,6/30/2012,31,32,,
,7/1/2012,23,26,,
,7/2/2012,133,132,,
,7/3/2012,133,133,,
,7/4/2012,21,22,,
,7/5/2012,112,112,,
,7/6/2012,108,105,,
,7/7/2012,20,21,,
,7/8/2012,15,18,,
,7/9/2012,147,147,,
,7/10/2012,144,143,,
,7/11/2012,149,148,,
,7/12/2012,161,162,,
,7/13/2012,132,131,,
,7/14/2012,26,29,,
,7/15/2012,23,25,,
,7/16/2012,143,144,,
,7/17/2012,148,146,,
,7/18/2012,140,142,,
,7/19/2012,154,151,,
,7/20/2012,143,141,,
,7/21/2012,26,29,,
,7/22/2012,21,23,,
,7/23/2012,139,135,,
,7/24/2012,151,153,,
,7/25/2012,141,141,,
,7/26/2012,148,148,,
,7/27/2012,135,131,,
,7/28/2012,27,28,,
,7/29/2012,17,19,,
,7/30/2012,131,133,,
,7/31/2012,134,136,,
,8/1/2012,133,133,,
,8/2/2012,141,140,,
,8/3/2012,132,127,,
,8/4/2012,21,25,,
,8/5/2012,20,23,,
,8/6/2012,147,142,,
,8/7/2012,137,140,,
,8/8/2012,145,145,,
,8/9/2012,144,147,,
,8/10/2012,126,121,,
,8/11/2012,20,19,,
,8/12/2012,15,17,,
,8/13/2012,153,153,,
,8/14/2012,138,138,,
,8/15/2012,142,141,,
,8/16/2012,136,137,,
,8/17/2012,129,123,,
,8/18/2012,24,25,,
,8/19/2012,17,20,,
,8/20/2012,127,129,,
,8/21/2012,140,136,,
,8/22/2012,143,147,,
,8/23/2012,156,151,,
,8/24/2012,136,136,,
,8/25/2012,22,27,,
,8/26/2012,17,16,,
,8/27/2012,162,157,,
,8/28/2012,152,150,,
,8/29/2012,143,146,,
,8/30/2012,139,144,,
,8/31/2012,120,115,,
,9/1/2012,27,27,,
,9/2/2012,11,16,,
,9/3/2012,21,23,,
,9/4/2012,134,132,,
,9/5/2012,147,147,,
,9/6/2012,149,146,,
,9/7/2012,135,133,,
,9/8/2012,28,29,,
,9/9/2012,15,17,,
,9/10/2012,157,156,,
,9/11/2012,144,144,,
,9/12/2012,147,147,,
,9/13/2012,155,152,,
,9/14/2012,135,139,,
,9/15/2012,29,30,,
,9/16/2012,19,22,,
,9/17/2012,139,135,,
,9/18/2012,138,139,,
,9/19/2012,133,132,,
,9/20/2012,128,124,,
,9/21/2012,116,112,,
,9/22/2012,30,30,,
,9/23/2012,14,18,,
,9/24/2012,135,137,,
,9/25/2012,145,142,,
,9/26/2012,142,147,,
,9/27/2012,137,136,,
,9/28/2012,118,113,,
,9/29/2012,26,30,,
,9/30/2012,20,21,,
,10/1/2012,126,124,,
,10/2/2012,148,149,,
,10/3/2012,133,129,,
,10/4/2012,131,135,,
,10/5/2012,121,122,,
,10/6/2012,23,25,,
,10/7/2012,19,20,,
,10/8/2012,125,124,,
,10/9/2012,141,140,,
,10/10/2012,149,151,,
,10/11/2012,154,152,,
,10/12/2012,139,137,,
,10/13/2012,22,26,,
,10/14/2012,20,21,,
,10/15/2012,151,146,,
,10/16/2012,151,152,,
,10/17/2012,140,140,,
,10/18/2012,156,157,,
,10/19/2012,131,129,,
,10/20/2012,32,29,,
,10/21/2012,20,25,,
,10/22/2012,139,136,,
,10/23/2012,145,145,,
,10/24/2012,131,137,,
,10/25/2012,132,131,,
,10/26/2012,144,137,,
,10/27/2012,32,33,,
,10/28/2012,17,20,,
,10/29/2012,151,148,,
,10/30/2012,147,148,,
,10/31/2012,116,116,,
,11/1/2012,136,138,,
,11/2/2012,131,127,,
,11/3/2012,29,30,,
,11/4/2012,10,15,,
,11/5/2012,143,143,,
,11/6/2012,141,137,,
