Garage entries-exits by garage,,,,,
Facility Name,Ellis OFarrell Garage,Off Street Parking ID,932,Parking Management District,Downtown
Usage Type,Date,Total Entries,Total Exits,,
,11/4/2012,48,49,,
,11/5/2012,144,150,,
,11/6/2012,152,151,,
,11/7/2012,168,168,,
,11/8/2012,171,169,,
,11/9/2012,156,160,,
,11/10/2012,65,66,,
,11/11/2012,36,37,,
,11/12/2012,144,144,,
,11/13/2012,157,158,,
,11/14/2012,154,149,,
,11/15/2012,148,151,,
,11/16/2012,149,154,,
,11/17/2012,82,81,,
,11/18/2012,51,48,,
,11/19/2012,168,165,,
,11/20/2012,161,164,,
,11/21/2012,146,149,,
,11/22/2012,0,0,,
,11/23/2012,86,88,,
,11/24/2012,72,72,,
,11/25/2012,39,40,,
,11/26/2012,141,138,,
,11/27/2012,148,147,,
,11/28/2012,150,155,,
,11/29/2012,140,143,,
,11/30/2012,176,180,,
,12/1/2012,76,78,,
,12/2/2012,49,52,,
,12/3/2012,147,155,,
,12/4/2012,153,156,,
,12/5/2012,150,147,,
,12/6/2012,150,149,,
,12/7/2012,146,147,,
,12/8/2012,68,71,,
,12/9/2012,50,51,,
,12/10/2012,152,157,,
,12/11/2012,149,146,,
,12/12/2012,156,159,,
,12/13/2012,155,152,,
,12/14/2012,153,161,,
,12/15/2012,84,81,,
,12/16/2012,55,56,,
,12/17/2012,145,149,,
,12/18/2012,154,152,,
,12/19/2012,150,153,,
,12/20/2012,158,160,,
,12/21/2012,164,163,,
,12/22/2012,82,94,,
,12/23/2012,57,54,,
,12/24/2012,82,82,,
,12/25/2012,2,2,,
,12/26/2012,116,114,,
,12/27/2012,114,116,,
,12/28/2012,116,117,,
,12/29/2012,76,75,,
,12/30/2012,46,48,,
,12/31/2012,87,88,,
,1/1/2013,36,36,,
,1/2/2013,107,122,,
,1/3/2013,130,133,,
,1/4/2013,136,136,,
,1/5/2013,62,64,,
,1/6/2013,46,48,,
,1/7/2013,141,144,,
,1/8/2013,152,150,,
,1/9/2013,141,145,,
,1/10/2013,150,152,,
,1/11/2013,145,147,,
,1/12/2013,70,70,,
,1/13/2013,42,40,,
,1/14/2013,154,156,,
,1/15/2013,146,146,,
,1/16/2013,150,151,,
,1/17/2013,169,166,,
,1/18/2013,160,165,,
,1/19/2013,66,70,,
,1/20/2013,39,37,,
,1/21/2013,99,99,,
,1/22/2013,137,137,,
,1/23/2013,138,136,,
,1/24/2013,153,155,,
,1/25/2013,154,151,,
,1/26/2013,67,69,,
,1/27/2013,55,57,,
,1/28/2013,147,150,,
,1/29/2013,164,161,,
,1/30/2013,148,148,,
,1/31/2013,153,152,,
,2/1/2013,155,161,,
,2/2/2013,61,61,,
,2/3/2013,39,40,,
,2/4/2013,128,131,,
,2/5/2013,141,145,,
,2/6/2013,151,153,,
,2/7/2013,145,146,,
,2/8/2013,138,144,,
,2/9/2013,72,71,,
,2/10/2013,43,42,,
,2/11/2013,139,141,,
,2/12/2013,152,147,,
,2/13/2013,152,145,,
,2/14/2013,164,160,,
,2/15/2013,140,136,,
,2/16/2013,66,65,,
,2/17/2013,43,45,,
,2/18/2013,103,104,,
,2/19/2013,135,128,,
,2/20/2013,143,143,,
,2/21/2013,140,140,,
,2/22/2013,148,149,,
,2/23/2013,67,64,,
,2/24/2013,44,46,,
,2/25/2013,146,144,,
,2/26/2013,154,153,,
,2/27/2013,155,154,,
,2/28/2013,150,147,,
,3/1/2013,149,150,,
,3/2/2013,62,59,,
,3/3/2013,41,42,,
,3/4/2013,135,133,,
,3/5/2013,153,152,,
,3/6/2013,152,155,,
,3/7/2013,156,153,,
,3/8/2013,160,161,,
,3/9/2013,69,75,,
,3/10/2013,53,47,,
,3/11/2013,139,137,,
,3/12/2013,154,156,,
,3/13/2013,163,161,,
,3/14/2013,158,159,,
,3/15/2013,162,161,,
,3/16/2013,76,76,,
,3/17/2013,52,52,,
,3/18/2013,148,151,,
,3/19/2013,168,163,,
,3/20/2013,158,160,,
,3/21/2013,169,168,,
,3/22/2013,162,162,,
,3/23/2013,57,60,,
,3/24/2013,43,41,,
,3/25/2013,156,153,,
,3/26/2013,158,157,,
,3/27/2013,155,155,,
,3/28/2013,153,149,,
,3/29/2013,125,127,,
,3/30/2013,81,85,,
,3/31/2013,40,38,,
,4/1/2013,139,145,,
,4/2/2013,161,157,,
,4/3/2013,150,147,,
,4/4/2013,171,168,,
,4/5/2013,160,165,,
,4/6/2013,84,83,,
