Garage entries-exits by garage,,,,,
Facility Name,Japan Center Garage,Off Street Parking ID,935,Parking Management District,Fillmore
Usage Type,Date,Total Entries,Total Exits,,
,4/9/2012,403,401,,
,4/10/2012,417,419,,
,4/11/2012,446,443,,
,4/12/2012,431,431,,
,4/13/2012,425,410,,
,4/14/2012,127,136,,
,4/15/2012,127,129,,
,4/16/2012,404,404,,
,4/17/2012,448,447,,
,4/18/2012,442,442,,
,4/19/2012,451,451,,
,4/20/2012,429,423,,
,4/21/2012,145,140,,
,4/22/2012,132,138,,
,4/23/2012,414,419,,
,4/24/2012,432,430,,
,4/25/2012,442,441,,
,4/26/2012,465,464,,
,4/27/2012,443,434,,
,4/28/2012,133,140,,
,4/29/2012,118,115,,
,4/30/2012,433,431,,
,5/1/2012,454,448,,
,5/2/2012,458,458,,
,5/3/2012,445,451,,
,5/4/2012,426,425,,
,5/5/2012,134,143,,
,5/6/2012,107,96,,
,5/7/2012,413,413,,
,5/8/2012,425,425,,
,5/9/2012,450,447,,
,5/10/2012,451,446,,
,5/11/2012,429,436,,
,5/12/2012,141,139,,
,5/13/2012,133,134,,
,5/14/2012,424,417,,
,5/15/2012,450,449,,
,5/16/2012,430,424,,
,5/17/2012,408,406,,
,5/18/2012,414,425,,
,5/19/2012,122,130,,
,5/20/2012,104,98,,
,5/21/2012,398,402,,
,5/22/2012,439,426,,
,5/23/2012,423,427,,
,5/24/2012,420,421,,
,5/25/2012,393,390,,
,5/26/2012,125,133,,
,5/27/2012,101,101,,
,5/28/2012,127,112,,
,5/29/2012,416,416,,
,5/30/2012,450,452,,
,5/31/2012,437,432,,
,6/1/2012,423,426,,
,6/2/2012,119,119,,
,6/3/2012,114,120,,
,6/4/2012,424,414,,
,6/5/2012,440,444,,
,6/6/2012,414,401,,
,6/7/2012,421,423,,
,6/8/2012,399,397,,
,6/9/2012,128,125,,
,6/10/2012,105,106,,
,6/11/2012,399,395,,
,6/12/2012,438,439,,
,6/13/2012,431,425,,
,6/14/2012,407,413,,
,6/15/2012,422,428,,
,6/16/2012,185,177,,
,6/17/2012,121,123,,
,6/18/2012,401,399,,
,6/19/2012,427,417,,
,6/20/2012,427,431,,
,6/21/2012,431,425,,
,6/22/2012,412,416,,
,6/23/2012,114,120,,
,6/24/2012,108,101,,
,6/25/2012,401,396,,
,6/26/2012,427,422,,
,6/27/2012,411,409,,
,6/28/2012,430,432,,
,6/29/2012,412,409,,
,6/30/2012,138,152,,
,7/1/2012,111,106,,
,7/2/2012,413,403,,
,7/3/2012,398,405,,
,7/4/2012,85,92,,
,7/5/2012,395,391,,
,7/6/2012,409,401,,
,7/7/2012,166,161,,
,7/8/2012,137,142,,
,7/9/2012,406,407,,
,7/10/2012,430,426,,
,7/11/2012,446,447,,
,7/12/2012,417,405,,
,7/13/2012,413,419,,
,7/14/2012,141,144,,
,7/15/2012,104,106,,
,7/16/2012,403,397,,
,7/17/2012,464,462,,
,7/18/2012,433,437,,
,7/19/2012,437,434,,
,7/20/2012,417,412,,
,7/21/2012,124,129,,
,7/22/2012,105,110,,
,7/23/2012,412,394,,
,7/24/2012,426,435,,
,7/25/2012,426,426,,
,7/26/2012,430,418,,
,7/27/2012,395,409,,
,7/28/2012,124,119,,
,7/29/2012,111,112,,
,7/30/2012,404,390,,
,7/31/2012,432,439,,
,8/1/2012,437,437,,
,8/2/2012,451,457,,
,8/3/2012,396,394,,
,8/4/2012,129,136,,
,8/5/2012,110,103,,
,8/6/2012,406,406,,
,8/7/2012,431,427,,
,8/8/2012,435,435,,
,8/9/2012,431,428,,
,8/10/2012,390,389,,
,8/11/2012,132,135,,
,8/12/2012,99,102,,
,8/13/2012,415,404,,
,8/14/2012,436,429,,
,8/15/2012,429,433,,
,8/16/2012,412,412,,
,8/17/2012,394,394,,
,8/18/2012,135,141,,
,8/19/2012,108,111,,
,8/20/2012,406,393,,
,8/21/2012,443,442,,
,8/22/2012,451,444,,
,8/23/2012,429,431,,
,8/24/2012,416,418,,
,8/25/2012,143,145,,
,8/26/2012,114,121,,
,8/27/2012,411,399,,
,8/28/2012,438,442,,
,8/29/2012,432,426,,
,8/30/2012,447,445,,
,8/31/2012,430,435,,
,9/1/2012,122,127,,
,9/2/2012,102,107,,
,9/3/2012,124,107,,
,9/4/2012,441,443,,
,9/5/2012,454,453,,
,9/6/2012,464,465,,
,9/7/2012,428,436,,
,9/8/2012,140,138,,
,9/9/2012,91,99,,
,9/10/2012,441,430,,
,9/11/2012,457,454,,
,9/12/2012,443,448,,
,9/13/2012,429,427,,
,9/14/2012,426,418,,
,9/15/2012,138,145,,
,9/16/2012,90,91,,
,9/17/2012,402,396,,
,9/18/2012,433,433,,
,9/19/2012,446,448,,
,9/20/2012,447,450,,
,9/21/2012,403,396,,
,9/22/2012,137,140,,
,9/23/2012,100,110,,
,9/24/2012,417,407,,
,9/25/2012,454,448,,
,9/26/2012,436,436,,
,9/27/2012,448,445,,
,9/28/2012,443,439,,
,9/29/2012,154,155,,
,9/30/2012,110,119,,
,10/1/2012,423,418,,
,10/2/2012,453,453,,
,10/3/2012,458,460,,
,10/4/2012,443,443,,
,10/5/2012,412,408,,
,10/6/2012,133,138,,
,10/7/2012,99,101,,
,10/8/2012,393,384,,
,10/9/2012,448,446,,
,10/10/2012,461,456,,
,10/11/2012,453,464,,
,10/12/2012,446,443,,
,10/13/2012,134,134,,
,10/14/2012,97,104,,
,10/15/2012,412,402,,
,10/16/2012,445,442,,
,10/17/2012,473,464,,
,10/18/2012,439,437,,
,10/19/2012,426,420,,
,10/20/2012,139,143,,
,10/21/2012,104,106,,
,10/22/2012,424,422,,
,10/23/2012,435,438,,
,10/24/2012,435,427,,
,10/25/2012,441,445,,
,10/26/2012,427,421,,
,10/27/2012,127,128,,
,10/28/2012,111,119,,
,10/29/2012,433,418,,
,10/30/2012,439,439,,
,10/31/2012,438,429,,
,11/1/2012,430,435,,
,11/2/2012,416,418,,
,11/3/2012,131,141,,
,11/4/2012,110,105,,
,11/5/2012,442,437,,
,11/6/2012,451,448,,
,11/7/2012,465,466,,
,11/8/2012,454,450,,
,11/9/2012,445,447,,
,11/10/2012,158,163,,
,11/11/2012,124,126,,
,11/12/2012,414,407,,
,11/13/2012,489,491,,
,11/14/2012,494,492,,
,11/15/2012,461,460,,
,11/16/2012,483,478,,
,11/17/2012,142,142,,
,11/18/2012,100,112,,
,11/19/2012,440,422,,
,11/20/2012,450,450,,
,11/21/2012,405,422,,
,11/22/2012,57,71,,
,11/23/2012,144,134,,
,11/24/2012,134,125,,
,11/25/2012,102,104,,
,11/26/2012,434,427,,
,11/27/2012,467,460,,
,11/28/2012,455,461,,
,11/29/2012,466,472,,
,11/30/2012,434,432,,
,12/1/2012,140,147,,
,12/2/2012,99,97,,
,12/3/2012,414,414,,
,12/4/2012,459,459,,
,12/5/2012,448,446,,
,12/6/2012,444,444,,
,12/7/2012,433,428,,
,12/8/2012,122,137,,
,12/9/2012,118,104,,
,12/10/2012,481,477,,
,12/11/2012,445,440,,
,12/12/2012,464,465,,
,12/13/2012,438,436,,
,12/14/2012,424,422,,
,12/15/2012,128,135,,
,12/16/2012,113,116,,
,12/17/2012,409,399,,
